MUSEUM,CATALOGUE,TL,WC,TLE,AMBN,BD,BL,DN,BW,SEX,LOCALITY,STATE/DEPARMENT,MUNICIPIO,COUNTRY,LATITUDE N,LONGITUDE W,COLLECTOR,COLLECTIO DATE,LINEAGE,ALTITUDE
DMNH,33851,13.307,54.833,30.667,NA,4.19,6.203,1.86,5.257,M,16 km al N de Mapastepec; Guadalupe Victoria,Chiapas,,México,15.510032,-92.8857327,"Ramirez V., Abraham",28/11/65,affinis,
DMNH,33852,13.493,54.5,31.333,2.747,4.34,6.45,1.63,5.803,M,16 km al N de Mapastepec; Guadalupe Victoria,Chiapas,,México,15.510032,-92.8857327,"Ramirez V., Abraham",17/11/65,affinis,
DMNH,33853,12.79,53,26.667,2.48,4.007,6.62,1.543,5.423,F,16 km al N de Mapastepec; Guadalupe Victoria,Chiapas,,México,15.510032,-92.8857327,"Ramirez V., Abraham",28/11/65,affinis,
DMNH,33854,12.477,52.667,27.333,2.603,4.03,6.127,1.643,5.643,F,16 km al N de Mapastepec; Guadalupe Victoria,Chiapas,,México,15.510032,-92.8857327,"Ramirez V., Abraham",28/11/65,affinis,
DMNH,33855,12.29,52.667,29,2.72,4.18,6.443,1.793,6.023,F,16 km al N de Mapastepec; Guadalupe Victoria,Chiapas,,México,15.510032,-92.8857327,"Ramirez V., Abraham",13/11/65,affinis,
DMNH,33856,12.85,53.333,29,2.58,4.17,6.79,1.747,5.57,F,16 km al N de Mapastepec; Guadalupe Victoria,Chiapas,,México,15.510032,-92.8857327,"Ramirez V., Abraham",12/11/65,affinis,
DMNH,33858,13.2,50.333,27.667,2.33,3.837,6.513,1.933,5.763,M,"Al N de Ciudad Cuauhtemoc; en la frontera con Guatemala, Siénega de Miramar",Chiapas,,México,16,-91.75,"Ramirez V., Abraham",12/10/64,affinis,
DMNH,33860,13.41,53.5,28.5,2.99,4.98,5.963,1.51,5.357,M, Las Delicias al N de Ciudad Cuauhtémoc,Chiapas,La Trinitaria,México,15.9689209,-91.8625259,"Ramirez V., Abraham",07/10/64,affinis,
DMNH,33861,13,52.333,27.667,NA,NA,6.28,1.383,5.027,F,"Al N de Ciudad Cuauhtemoc; en la frontera con Guatemala, Siénega de Miramar",Chiapas,,México,16,-91.75,"Ramirez V., Abraham",12/10/64,affinis,
DMNH,33862,12.857,52.333,27.167,2.337,3.783,5.943,1.663,5.367,F, Las Delicias al N de Ciudad Cuauhtémoc,Chiapas,La Trinitaria,México,15.9689209,-91.8625259,"Ramirez V., Abraham",17/10/64,affinis,
